Name,Url,"Creation Date","Last Update","Last Version",Omeka.org,"Omeka Constraint",Author,"Author Link",License,Description,Tags,Link,"Support Link","Ini Path"
jQueryUI,https://github.com/biblibre/omeka-s-module-jQueryUI,2016-05-12T13:52:19Z,2018-03-07T08:10:53Z,1.12.1,,,BibLibre,https://github.com/biblibre,,"Provides jQueryUI for other modules",,https://github.com/biblibre/omeka-s-module-jQueryUI,,
Ldap,https://github.com/digihum/omeka-s-ldap,2016-12-12T11:24:57Z,2017-04-03T16:20:02Z,0.2,,^1.0.0-beta2,"Tim Hollies",http://warwick.ac.uk/digitalhumanities,,"Authenticate Omeka-S users with LDAP",,,,
Lockout,https://github.com/Daniel-KM/Omeka-S-module-Lockout,2017-06-08T10:19:00Z,2018-07-05T15:07:38Z,3.2.3,,^1.0.0,"Daniel Berthereau (port of Johan Eenfeldt's plugin for WordPress)",https://github.com/Daniel-KM,"CeCILL v2.1","Limit rate of login attempts for each IP to avoid brute-force attacks.","login, security, authentication",https://github.com/Daniel-KM/Omeka-S-module-Lockout,https://github.com/Daniel-KM/Omeka-S-module-Lockout/issues,
Log,https://github.com/Daniel-KM/Omeka-S-module-Log,2018-01-08T06:43:53Z,2018-07-29T07:28:05Z,3.1.4,,^1.0.0,"Daniel Berthereau",https://github.com/Daniel-KM,CECILL-2.1,"Monitor all logging messages and background jobs directly in the admin board and make them translatable and easily checkable.","monitor, log, psr-3, logging, job, admin",https://github.com/Daniel-KM/Omeka-S-module-Log,https://github.com/Daniel-KM/Omeka-S-module-Log/issues,
Maintenance,https://github.com/Daniel-KM/Omeka-S-module-Maintenance,2017-11-14T12:13:27Z,2018-01-15T07:09:40Z,3.0.2,,^1.0.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Add a setting to set the site under maintenance for the public. Can be disabled when unused.","administration, miscellaneous",https://github.com/Daniel-KM/Omeka-S-module-Maintenance,https://github.com/Daniel-KM/Omeka-S-module-Maintenance/issues,
Mapping,https://github.com/omeka-s-modules/Mapping,2016-03-16T20:35:19Z,2018-06-25T07:14:39Z,1.0.1,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Add location info to your items and sites.",,,https://forum.omeka.org/c/omeka-s/modules,
"Metadata Browse",https://github.com/omeka-s-modules/MetadataBrowse,2015-07-30T23:23:54Z,2018-04-23T21:12:30Z,1.1.2,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Adds a link to same results for metadata values.",,https://github.com/omeka-s-modules/MetadataBrowse,https://forum.omeka.org/c/omeka-s/modules,
My,https://github.com/AlyxTaj/dictionnaire-module-omeka,2018-05-01T14:19:35Z,2018-05-01T14:24:56Z,1.0,,^1.0.0,"My Organization",http://sortiaria.alwaysdata.net/omeka-s/s/sortiaria/page/accueil,,"Module dictionnaire pour Omeka-S",,https://github.com/AlyxTaj/module-dictionnaire-omeka.git,,
Neatline,https://github.com/performant-software/neatline-omeka-s,2018-01-12T01:59:43Z,2018-07-27T20:27:57Z,3.0.1,,,"Scholars' Lab",https://github.com/scholarslab/Neatline/issues,"Apache License, Version 2.0","Plot your course in space and time.",,https://github.com/scholarslab/Neatline,,
"Network Map",https://github.com/coreytegeler/omeka-s-module-NetworkMap,2018-04-02T15:13:14Z,2018-04-02T16:02:56Z,1.0,,,"Corey Tegeler",http://coreytegeler.com,,,,http://coreytegeler.com,,
